Prefix;Operator Name
+482111;Polska Spó?ka Gazownictwa Sp. z o.o.
+482112;Polska Spó?ka Gazownictwa Sp. z o.o.
+4821131;Polska Spó?ka Gazownictwa Sp. z o.o.
+4821132;Polska Spó?ka Gazownictwa Sp. z o.o.
+4821133;Polska Spó?ka Gazownictwa Sp. z o.o.
+4821134;Polska Spó?ka Gazownictwa Sp. z o.o.
+4821135;Polska Spó?ka Gazownictwa Sp. z o.o.
+482114;Polkomtel Sp. z o.o. (Sie? komórkowa Plus)
+482115;Polkomtel Sp. z o.o. (Sie? komórkowa Plus)
+482120;Orange Polska S.A. (Sie? komórkowa Orange)
+482121;Orange Polska S.A. (Sie? komórkowa Orange)
+482122;Orange Polska S.A. (Sie? komórkowa Orange)
+482123;Orange Polska S.A. (Sie? komórkowa Orange)
+482124;Orange Polska S.A. (Sie? komórkowa Orange)
+484500;P4 Sp. z o.o. (Sie? komórkowa Play)
+484501;P4 Sp. z o.o. (Sie? komórkowa Play)
+4845021;4RE Sp. z o.o.
+484510;Orange Polska S.A. (Sie? komórkowa Orange)
+484511;Orange Polska S.A. (Sie? komórkowa Orange)
+484512;Orange Polska S.A. (Sie? komórkowa Orange)
+4845140;3S S.A.
+4845141;Politechnika ?ódzka Uczelniane Centrum Informatyczne
+4845145;VCOM Polska Sp. z o.o.
+484515;Orange Polska S.A. (Sie? komórkowa Orange)
+484516;Orange Polska S.A. (Sie? komórkowa Orange)
+48452;Orange Polska S.A. (Sie? komórkowa Orange)
+4845540;Telestrada S.A.
+4845544;Telestrada S.A.
+4845545;CLAUDE ICT POLAND Sp. z o.o.
+4845555;Pomagacz Sp. Z o.o.
+4845678;PIKA POLSKA Sp. z o.o.
+4845900;ITI Neovision S.A. (Sie? komórkowa CANAL+)
+4845901;ITI Neovision S.A. (Sie? komórkowa CANAL+)
+4845902;ITI Neovision S.A. (Sie? komórkowa CANAL+)
+4845903;ITI Neovision S.A. (Sie? komórkowa CANAL+)
+4845904;ITI Neovision S.A. (Sie? komórkowa CANAL+)
+4845906;Mobiledata Sp. z o.o.
+4845907;Mobiledata Sp. z o.o.
+4845905;Next Mobile Sp. z o.o.
+4845908;Mobiledata Sp. z o.o.
+4845909;Benemen Poland Sp. z o.o.
+4845920;SIA Ntel Solutions
+484593;Virgin Mobile Polska Sp. z o.o.
+4845941;OTVARTA Sp. z o.o.
+4845942;NordConnect OU
+4845943;Mobiledata Sp. z o.o.
+4845944;Vonage B.V.
+4845945;NAU Profit Sp. z o.o.
+4845951;Cyfrowy POLSAT S.A.
+4845952;Cyfrowy POLSAT S.A.
+4845953;Cyfrowy POLSAT S.A.
+4845954;Cyfrowy POLSAT S.A.
+4845955;Cyfrowy POLSAT S.A.
+4845958;Telestrada S.A. (Sie? komórkowa Lajt Mobile)
+4845959;Telestrada S.A. (Sie? komórkowa Lajt Mobile)
+4845950;SIA Ntel Solutions
+4845956;Next Mobile Sp. z o.o.
+4845957;BSG ESTONIA OU
+484598;Cyfrowy POLSAT S.A.
+48500;Orange Polska S.A. (Sie? komórkowa Orange)
+48501;Orange Polska S.A. (Sie? komórkowa Orange)
+48502;Orange Polska S.A. (Sie? komórkowa Orange)
+48503;Orange Polska S.A. (Sie? komórkowa Orange)
+48504;Orange Polska S.A. (Sie? komórkowa Orange)
+48505;Orange Polska S.A. (Sie? komórkowa Orange)
+48506;Orange Polska S.A. (Sie? komórkowa Orange)
+48507;Orange Polska S.A. (Sie? komórkowa Orange)
+48508;Orange Polska S.A. (Sie? komórkowa Orange)
+48509;Orange Polska S.A. (Sie? komórkowa Orange)
+48510;Orange Polska S.A. (Sie? komórkowa Orange)
+48511;Orange Polska S.A. (Sie? komórkowa Orange)
+48512;Orange Polska S.A. (Sie? komórkowa Orange)
+48513;Orange Polska S.A. (Sie? komórkowa Orange)
+48514;Orange Polska S.A. (Sie? komórkowa Orange)
+48515;Orange Polska S.A. (Sie? komórkowa Orange)
+48516;Orange Polska S.A. (Sie? komórkowa Orange)
+48517;Orange Polska S.A. (Sie? komórkowa Orange)
+48518;Orange Polska S.A. (Sie? komórkowa Orange)
+48519;Orange Polska S.A. (Sie? komórkowa Orange)
+48530;P4 Sp. z o.o. (Sie? komórkowa Play)
+48531;P4 Sp. z o.o. (Sie? komórkowa Play)
+48532;T-MOBILE POLSKA S.A. (Sie? komórkowa T-Mobile)
+48533;P4 Sp. z o.o. (Sie? komórkowa Play)
+48534;P4 Sp. z o.o. (Sie? komórkowa Play)
+48535;P4 Sp. z o.o. (Sie? komórkowa Play)
+485360;P4 Sp. z o.o. (Sie? komórkowa Play)
+485361;P4 Sp. z o.o. (Sie? komórkowa Play)
+485362;P4 Sp. z o.o. (Sie? komórkowa Play)
+485363;P4 Sp. z o.o. (Sie? komórkowa Play)
+485364;P4 Sp. z o.o. (Sie? komórkowa Play)
+485365;P4 Sp. z o.o. (Sie? komórkowa Play)
+485366;Polskie Sieci Cyfrowe Sp. z o.o.
+485367;P4 Sp. z o.o. (Sie? komórkowa Play)
+485368;P4 Sp. z o.o. (Sie? komórkowa Play)
+485369;P4 Sp. z o.o. (Sie? komórkowa Play)
+485366;P4 Sp. z o.o. (Sie? komórkowa Play)
+48537;P4 Sp. z o.o. (Sie? komórkowa Play)
+48538;T-MOBILE POLSKA S.A. (Sie? komórkowa T-Mobile)
+48539;T-MOBILE POLSKA S.A. (Sie? komórkowa T-Mobile)
+48570;P4 Sp. z o.o. (Sie? komórkowa Play)
+485710;Orange Polska S.A. (Sie? komórkowa Orange)
+485711;Orange Polska S.A. (Sie? komórkowa Orange)
+485712;Orange Polska S.A. (Sie? komórkowa Orange)
+485713;Orange Polska S.A. (Sie? komórkowa Orange)
+485714;Orange Polska S.A. (Sie? komórkowa Orange)
+485715;Orange Polska S.A. (Sie? komórkowa Orange)
+485716;Orange Polska S.A. (Sie? komórkowa Orange)
+485717;Orange Polska S.A. (Sie? komórkowa Orange)
+485718;Orange Polska S.A. (Sie? komórkowa Orange)
+485719;Orange Polska S.A. (Sie? komórkowa Orange)
+48572;Orange Polska S.A. (Sie? komórkowa Orange)
+485730;Orange Polska S.A. (Sie? komórkowa Orange)
+485731;Orange Polska S.A. (Sie? komórkowa Orange)
+485732;Orange Polska S.A. (Sie? komórkowa Orange)
+485733;Orange Polska S.A. (Sie? komórkowa Orange)
+485734;Orange Polska S.A. (Sie? komórkowa Orange)
+4857350;Next Mobile Sp. z o.o.
+4857351;UPC Polska Sp. z o.o.
+4857352;UPC Polska Sp. z o.o.
+4857353;UPC Polska Sp. z o.o.
+4857354;UPC Polska Sp. z o.o.
+4857355;UPC Polska Sp. z o.o.
+4857356;Next Mobile Sp. z o.o.
+4857357;Orange Polska S.A. (Sie? komórkowa Orange)
+4857358;Next Mobile Sp. z o.o.
+4857359;Fundacja Nasza Wizja
+485736;Orange Polska S.A. (Sie? komórkowa Orange)
+485737;Orange Polska S.A. (Sie? komórkowa Orange)
+485738;Orange Polska S.A. (Sie? komórkowa Orange)
+485739;Orange Polska S.A. (Sie? komórkowa Orange)
+48574;P4 Sp. z o.o. (Sie? komórkowa Play)
+48575;P4 Sp. z o.o. (Sie? komórkowa Play)
+48576;P4 Sp. z o.o. (Sie? komórkowa Play)
+48577;P4 Sp. z o.o. (Sie? komórkowa Play)
+48578;P4 Sp. z o.o. (Sie? komórkowa Play)
+485790;Virgin Mobile Polska Sp. z o.o.
+485791;Lycamobile Sp. z o.o.
+485792;Lycamobile Sp. z o.o.
+485793;Lycamobile Sp. z o.o.
+4857940;ITI Neovision S.A. (Sie? komórkowa CANAL+)
+4857941;Messagebird B.V.
+4857942;SIA NetBalt
+4857943;ITI Neovision S.A. (Sie? komórkowa CANAL+)
